batch_size,learning_rate,epoch,lambda,test_loss,curvature,accuracy,crossentropy,Unnamed: 8,Unnamed: 9,Unnamed: 10,learning_rate.1,epoch.1,lambda.1,test_loss.1,crossentropy.1,curvature.1,without quantation,4bit-10,4bit-100,8bit-10,8bit-100
128.0,0.001,30.0,1.0,1.721739,38167263.23,74.82,1.721739,,,,,,,,,,,,,,
128.0,0.001,10.0,1.0,0.981641,33276279.5,73.14,0.981641,,,,,,,,,,,,,,
128.0,0.001,10.0,1.0,0.981641,33276279.5,73.14,0.981641,,,,,,,,,,,,,,
128.0,0.001,3.0,1.0,0.910547,34651421.85,67.67,0.910547,,,,,,,,,,,,,,
128.0,0.001,3.0,1.0,0.910547,34651421.85,67.67,0.910547,,,,,,,,,,,,,,
128.0,0.001,3.0,1.0,0.910547,34651421.85,67.67,0.910547,,,,,,,,,,,,,,
128.0,0.001,3.0,0.99,1.867431,11.188425,42.33,1.773279,,,,,,,,,,,,,,
128.0,0.001,3.0,0.99,1.867431,11.188425,42.33,1.773279,,,,,,,,,,,,,,
128.0,0.001,30.0,1.0,1.721739,38167263.23,74.82,1.721739,,,,,,,,,,,,,,
128.0,0.001,30.0,0.99,1.206697,17.505394,65.88,1.042064,,,,,,,,,,,,,,
128.0,0.001,30.0,0.995,1.178084,40.967419,67.56,0.978138,,,,,,,,,,,,,,
128.0,0.001,30.0,0.95,1.664062,3.521873,48.61,1.566282,,,,,,,,,,,,,,
128.0,0.001,30.0,0.9,1.558149,1.218648,47.9,1.595871,,,,,,,,,,,,,,
128.0,0.001,30.0,0.8,1.502197,0.41542,37.42,1.773892,,,,,,,,,,,,,,
128.0,0.001,30.0,0.8,1.521246,0.379327,36.19,1.806725,,,,,,,,,,,,,,
128.0,0.001,30.0,0.8,1.528831,0.35924,36.25,1.821228,,,,,,,,,,,,,,
128.0,0.001,30.0,0.8,1.710995,,75.21,1.710995,,,,,,,,,,,,,,
